"Exp","Site","Hole","Core","Type","Sect","A/W","Top depth CSF-A (m)","Bottom depth CSF-A (m)","Top depth CSF-B (m)","Bottom depth CSF-B (m)","Display status (T/F)","Uncropped image (JPG) link","Uncropped image filename","Cropped image (JPG) link","Cropped image filename","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"318","U1356","A","1","R","1","A","0.000","1.500","0.000","1.500","T","5938821","318-U1356A-1R-1-A_SHLF2068741_20100122224555.jpg","5938841","318-U1356A-1R-1-A_SHLF2068741_20100122224555_trim.jpg","2010-01-23 04:49:41","JAICV107CL","SHIL","SHLF2068741","16391761","","",""
"318","U1356","A","1","R","2","A","1.500","3.000","1.500","3.000","T","5938921","318-U1356A-1R-2-A_SHLF2068771_20100122225326.jpg","5938941","318-U1356A-1R-2-A_SHLF2068771_20100122225326_trim.jpg","2010-01-23 04:59:53","JAICV107CL","SHIL","SHLF2068771","16392161","","",""
"318","U1356","A","1","R","3","A","3.000","4.460","3.000","4.460","T","5939101","318-U1356A-1R-3-A_SHLF2068801_20100122230903.jpg","5939121","318-U1356A-1R-3-A_SHLF2068801_20100122230903_trim.jpg","2010-01-23 05:12:27","JAICV107CL","SHIL","SHLF2068801","16392631","","",""
"318","U1356","A","1","R","CC","A","4.460","4.600","4.460","4.600","T","5939241","318-U1356A-1R-CC-A_SHLF2068831_20100122232252.jpg","5939261","318-U1356A-1R-CC-A_SHLF2068831_20100122232252_trim.jpg","2010-01-23 05:25:00","JAICV107CL","SHIL","SHLF2068831","16393751","","",""
"318","U1356","A","2","R","1","A","9.500","11.000","9.500","11.000","T","5940441","318-U1356A-2R-1-A_SHLF2068891_20100123022512.jpg","5940461","318-U1356A-2R-1-A_SHLF2068891_20100123022512_trim.jpg","2010-01-23 08:30:12","JAICV107CL","SHIL","SHLF2068891","16397081","","",""
"318","U1356","A","2","R","2","A","11.000","12.500","11.000","12.500","T","5940501","318-U1356A-2R-2-A_SHLF2068921_20100123023455.jpg","5940521","318-U1356A-2R-2-A_SHLF2068921_20100123023455_trim.jpg","2010-01-23 08:40:24","JAICV107CL","SHIL","SHLF2068921","16398411","","",""
"318","U1356","A","2","R","3","A","12.500","14.000","12.500","14.000","T","5940881","318-U1356A-2R-3-A_SHLF2068951_20100123025727.jpg","5940901","318-U1356A-2R-3-A_SHLF2068951_20100123025727_trim.jpg","2010-01-23 09:00:36","JAICV107CL","SHIL","SHLF2068951","16398911","","",""
"318","U1356","A","2","R","4","A","14.000","15.500","14.000","15.500","T","5941221","318-U1356A-2R-4-A_SHLF2068981_20100123031120.jpg","5941241","318-U1356A-2R-4-A_SHLF2068981_20100123031120_trim.jpg","2010-01-23 09:15:47","JAICV107CL","SHIL","SHLF2068981","16399481","","",""
"318","U1356","A","2","R","5","A","15.500","17.000","15.500","17.000","T","5941341","318-U1356A-2R-5-A_SHLF2069011_20100123032416.jpg","5941361","318-U1356A-2R-5-A_SHLF2069011_20100123032416_trim.jpg","2010-01-23 09:27:28","JAICV107CL","SHIL","SHLF2069011","16399611","","",""
"318","U1356","A","2","R","6","A","17.000","18.500","17.000","18.500","T","5941421","318-U1356A-2R-6-A_SHLF2069041_20100123033727.jpg","5941441","318-U1356A-2R-6-A_SHLF2069041_20100123033727_trim.jpg","2010-01-23 09:42:41","JAICV107CL","SHIL","SHLF2069041","16399671","","",""
"318","U1356","A","2","R","7","A","18.500","18.990","18.500","18.990","T","5941501","318-U1356A-2R-7-A_SHLF2069071_20100123034832.jpg","5941521","318-U1356A-2R-7-A_SHLF2069071_20100123034832_trim.jpg","2010-01-23 09:50:05","JAICV107CL","SHIL","SHLF2069071","16399731","","",""
"318","U1356","A","2","R","CC","A","18.990","19.100","18.990","19.100","T","5941581","318-U1356A-2R-CC-A_SHLF2069101_20100123040103.jpg","5941601","318-U1356A-2R-CC-A_SHLF2069101_20100123040103_trim.jpg","2010-01-23 10:02:03","JAICV107CL","SHIL","SHLF2069101","16399961","","",""
"318","U1356","A","3","R","1","A","19.200","19.570","19.200","19.570","T","5941721","318-U1356A-3R-1-A_SHLF2069161_20100123040833.jpg","5941741","318-U1356A-3R-1-A_SHLF2069161_20100123040833_trim.jpg","2010-01-23 10:11:51","JAICV107CL","SHIL","SHLF2069161","16400341","","",""
"318","U1356","A","3","R","CC","A","19.570","19.800","19.570","19.800","T","5941801","318-U1356A-3R-CC-A_SHLF2069191_20100123041401.jpg","5941821","318-U1356A-3R-CC-A_SHLF2069191_20100123041401_trim.jpg","2010-01-23 10:16:55","JAICV107CL","SHIL","SHLF2069191","16400401","","",""
"318","U1356","A","4","R","CC","A","28.200","28.380","28.200","28.380","T","5942541","318-U1356A-4R-CC-A_SHLF2069341_20100123062940.jpg","5942561","318-U1356A-4R-CC-A_SHLF2069341_20100123062940_trim.jpg","2010-01-23 12:31:59","JAICV107CL","SHIL","SHLF2069341","16403381","","",""
"318","U1356","A","5","R","CC","A","37.800","37.880","37.800","37.880","T","5942601","318-U1356A-5R-CC-A_SHLF2069601_20100123063349.jpg","5942621","318-U1356A-5R-CC-A_SHLF2069601_20100123063349_trim.jpg","2010-01-23 12:36:01","JAICV107CL","SHIL","SHLF2069601","16403601","","",""
"318","U1356","A","6","R","CC","A","47.300","47.390","47.300","47.390","T","5942681","318-U1356A-6R-CC-A_SHLF2069921_20100123063651.jpg","5942701","318-U1356A-6R-CC-A_SHLF2069921_20100123063651_trim.jpg","2010-01-23 12:38:40","JAICV107CL","SHIL","SHLF2069921","16403691","","",""
"318","U1356","A","7","R","CC","A","56.900","57.040","56.900","57.040","T","5942741","318-U1356A-7R-CC-A_SHLF2070111_20100123064246.jpg","5942761","318-U1356A-7R-CC-A_SHLF2070111_20100123064246_trim.jpg","2010-01-23 12:43:44","JAICV107CL","SHIL","SHLF2070111","16403741","","",""
"318","U1356","A","8","R","CC","A","66.500","66.570","66.500","66.570","T","5942801","318-U1356A-8R-CC-A_SHLF2070261_20100123064622.jpg","5942821","318-U1356A-8R-CC-A_SHLF2070261_20100123064622_trim.jpg","2010-01-23 12:48:17","JAICV107CL","SHIL","SHLF2070261","16403761","","",""
"318","U1356","A","9","R","CC","A","76.100","76.260","76.100","76.260","T","5942861","318-U1356A-9R-CC-A_SHLF2070471_20100123064946.jpg","5942881","318-U1356A-9R-CC-A_SHLF2070471_20100123064946_trim.jpg","2010-01-23 12:50:36","JAICV107CL","SHIL","SHLF2070471","16403781","","",""
"318","U1356","A","10","R","CC","A","85.700","85.890","85.700","85.890","T","5942921","318-U1356A-10R-CC-A_SHLF2070601_20100123065224.jpg","5942941","318-U1356A-10R-CC-A_SHLF2070601_20100123065224_trim.jpg","2010-01-23 12:55:41","JAICV107CL","SHIL","SHLF2070601","16403801","","",""
"318","U1356","A","11","R","1","A","95.400","96.900","95.400","96.900","T","5944201","318-U1356A-11R-1-A_SHLF2070711_20100123112706.jpg","5944221","318-U1356A-11R-1-A_SHLF2070711_20100123112706_trim.jpg","2010-01-23 17:30:52","JAICV107CL","SHIL","SHLF2070711","16410231","","",""
"318","U1356","A","11","R","2","A","96.900","98.390","96.900","98.390","T","5944401","318-U1356A-11R-2-A_SHLF2070741_20100123113446.jpg","5944421","318-U1356A-11R-2-A_SHLF2070741_20100123113446_trim.jpg","2010-01-23 17:41:04","JAICV107CL","SHIL","SHLF2070741","16410321","","",""
"318","U1356","A","11","R","CC","A","98.390","98.660","98.390","98.660","T","5944801","318-U1356A-11R-CC-A_SHLF2070771_20100123120221.jpg","5944821","318-U1356A-11R-CC-A_SHLF2070771_20100123120221_trim.jpg","2010-01-23 18:16:08","JAICV107CL","SHIL","SHLF2070771","16412031","","",""
"318","U1356","A","12","R","1","A","104.900","106.400","104.900","106.400","T","5945141","318-U1356A-12R-1-A_SHLF2071001_20100123124009.jpg","5945161","318-U1356A-12R-1-A_SHLF2071001_20100123124009_trim.jpg","2010-01-23 18:46:20","JAICV107CL","SHIL","SHLF2071001","16412481","","",""
"318","U1356","A","12","R","2","A","106.400","107.900","106.400","107.900","T","5945641","318-U1356A-12R-2-A_SHLF2071031_20100123130532.jpg","5945661","318-U1356A-12R-2-A_SHLF2071031_20100123130532_trim.jpg","2010-01-23 19:08:07","JAICV107CL","SHIL","SHLF2071031","16413821","","",""
"318","U1356","A","12","R","3","A","107.900","109.180","107.900","109.180","T","5945881","318-U1356A-12R-3-A_SHLF2071061_20100123131615.jpg","5945901","318-U1356A-12R-3-A_SHLF2071061_20100123131615_trim.jpg","2010-01-23 19:19:00","JAICV107CL","SHIL","SHLF2071061","16414121","","",""
"318","U1356","A","12","R","CC","A","109.180","109.330","109.180","109.330","T","5945941","318-U1356A-12R-CC-A_SHLF2071091_20100123132714.jpg","5945961","318-U1356A-12R-CC-A_SHLF2071091_20100123132714_trim.jpg","2010-01-23 19:28:40","JAICV107CL","SHIL","SHLF2071091","16414141","","",""
"318","U1356","A","13","R","1","A","114.500","116.000","114.500","116.000","T","5946501","318-U1356A-13R-1-A_SHLF2071211_20100123141410.jpg","5946521","318-U1356A-13R-1-A_SHLF2071211_20100123141410_trim.jpg","2010-01-23 20:16:07","JAICV107CL","SHIL","SHLF2071211","16414911","","",""
"318","U1356","A","13","R","2","A","116.000","117.030","116.000","117.030","T","5946601","318-U1356A-13R-2-A_SHLF2071241_20100123141843.jpg","5946621","318-U1356A-13R-2-A_SHLF2071241_20100123141843_trim.jpg","2010-01-23 20:20:38","JAICV107CL","SHIL","SHLF2071241","16414971","","",""
"318","U1356","A","13","R","CC","A","117.030","117.250","117.030","117.250","T","5947121","318-U1356A-13R-CC-A_SHLF2071271_20100123143145.jpg","5947141","318-U1356A-13R-CC-A_SHLF2071271_20100123143145_trim.jpg","2010-01-23 20:33:00","JAICV107CL","SHIL","SHLF2071271","16416061","","",""
"318","U1356","A","14","R","1","A","124.100","125.600","124.100","125.600","T","5947721","318-U1356A-14R-1-A_SHLF2071491_20100123153841.jpg","5947741","318-U1356A-14R-1-A_SHLF2071491_20100123153841_trim.jpg","2010-01-23 21:40:50","JAICV107CL","SHIL","SHLF2071491","16416621","","",""
"318","U1356","A","14","R","2","A","125.600","127.100","125.600","127.100","T","5947781","318-U1356A-14R-2-A_SHLF2071521_20100123155131.jpg","5947801","318-U1356A-14R-2-A_SHLF2071521_20100123155131_trim.jpg","2010-01-23 21:56:01","JAICV107CL","SHIL","SHLF2071521","16417191","","",""
"318","U1356","A","14","R","3","A","127.100","128.600","127.100","128.600","T","5947901","318-U1356A-14R-3-A_SHLF2071551_20100123155830.jpg","5947921","318-U1356A-14R-3-A_SHLF2071551_20100123155830_trim.jpg","2010-01-23 22:01:03","JAICV107CL","SHIL","SHLF2071551","16417661","","",""
"318","U1356","A","14","R","4","A","128.600","129.600","128.600","129.600","T","5948001","318-U1356A-14R-4-A_SHLF2071581_20100123160859.jpg","5948021","318-U1356A-14R-4-A_SHLF2071581_20100123160859_trim.jpg","2010-01-23 22:10:43","JAICV107CL","SHIL","SHLF2071581","16418021","","",""
"318","U1356","A","14","R","5","A","129.600","130.470","129.600","130.470","T","5948161","318-U1356A-14R-5-A_SHLF2071611_20100123162156.jpg","5948181","318-U1356A-14R-5-A_SHLF2071611_20100123162156_trim.jpg","2010-01-23 22:30:51","JAICV107CL","SHIL","SHLF2071611","16418781","","",""
"318","U1356","A","14","R","CC","A","130.470","130.700","130.470","130.700","T","5948221","318-U1356A-14R-CC-A_SHLF2071641_20100123163339.jpg","5948241","318-U1356A-14R-CC-A_SHLF2071641_20100123163339_trim.jpg","2010-01-23 22:34:37","JAICV107CL","SHIL","SHLF2071641","16418801","","",""
"318","U1356","A","15","R","1","A","133.800","135.300","133.800","135.300","T","5949241","318-U1356A-15R-1-A_SHLF2071861_20100123182715.jpg","5949261","318-U1356A-15R-1-A_SHLF2071861_20100123182715_trim.jpg","2010-01-24 00:29:15","JAICV107CL","SHIL","SHLF2071861","16420541","","",""
"318","U1356","A","15","R","2","A","135.300","136.800","135.300","136.800","T","5949341","318-U1356A-15R-2-A_SHLF2071891_20100123183555.jpg","5949361","318-U1356A-15R-2-A_SHLF2071891_20100123183555_trim.jpg","2010-01-24 00:37:28","JAICV107CL","SHIL","SHLF2071891","16420681","","",""
"318","U1356","A","15","R","3","A","136.800","138.300","136.800","138.300","T","5949481","318-U1356A-15R-3-A_SHLF2071921_20100123184902.jpg","5949501","318-U1356A-15R-3-A_SHLF2071921_20100123184902_trim.jpg","2010-01-24 00:51:18","JAICV107CL","SHIL","SHLF2071921","16421391","","",""
"318","U1356","A","15","R","4","A","138.300","139.800","138.300","139.800","T","5949621","318-U1356A-15R-4-A_SHLF2071951_20100123190015.jpg","5949641","318-U1356A-15R-4-A_SHLF2071951_20100123190015_trim.jpg","2010-01-24 01:01:55","JAICV107CL","SHIL","SHLF2071951","16422181","","",""
"318","U1356","A","15","R","5","A","139.800","140.800","139.800","140.800","T","5949801","318-U1356A-15R-5-A_SHLF2071981_20100123191408.jpg","5949821","318-U1356A-15R-5-A_SHLF2071981_20100123191408_trim.jpg","2010-01-24 01:16:04","JAICV107CL","SHIL","SHLF2071981","16422501","","",""
"318","U1356","A","15","R","6","A","140.800","141.530","140.800","141.530","T","5950101","318-U1356A-15R-6-A_SHLF2072011_20100123192646.jpg","5950121","318-U1356A-15R-6-A_SHLF2072011_20100123192646_trim.jpg","2010-01-24 01:28:19","JAICV107CL","SHIL","SHLF2072011","16422751","","",""
"318","U1356","A","15","R","CC","A","141.530","141.750","141.530","141.750","T","5950221","318-U1356A-15R-CC-A_SHLF2072041_20100123193400.jpg","5950241","318-U1356A-15R-CC-A_SHLF2072041_20100123193400_trim.jpg","2010-01-24 01:35:07","JAICV107CL","SHIL","SHLF2072041","16423361","","",""
"318","U1356","A","16","R","CC","A","143.400","143.540","143.400","143.540","T","5951441","318-U1356A-16R-CC-A_SHLF2072181_20100123210219.jpg","5951461","318-U1356A-16R-CC-A_SHLF2072181_20100123210219_trim.jpg","2010-01-24 03:10:11","JAICV107CL","SHIL","SHLF2072181","16427401","","",""
"318","U1356","A","17","R","1","A","153.000","154.500","153.000","154.500","T","5951541","318-U1356A-17R-1-A_SHLF2072341_20100123210909.jpg","5951561","318-U1356A-17R-1-A_SHLF2072341_20100123210909_trim.jpg","2010-01-24 03:14:38","JAICV107CL","SHIL","SHLF2072341","16427621","","",""
"318","U1356","A","17","R","2","A","154.500","156.000","154.500","156.000","T","5951761","318-U1356A-17R-2-A_SHLF2072371_20100123211844.jpg","5951781","318-U1356A-17R-2-A_SHLF2072371_20100123211844_trim.jpg","2010-01-24 03:24:49","JAICV107CL","SHIL","SHLF2072371","16427771","","",""
"318","U1356","A","17","R","3","A","156.000","157.500","156.000","157.500","T","5951821","318-U1356A-17R-3-A_SHLF2072401_20100123213120.jpg","5951841","318-U1356A-17R-3-A_SHLF2072401_20100123213120_trim.jpg","2010-01-24 03:35:00","JAICV107CL","SHIL","SHLF2072401","16427891","","",""
"318","U1356","A","17","R","4","A","157.500","158.640","157.500","158.640","T","5951961","318-U1356A-17R-4-A_SHLF2072431_20100123214426.jpg","5951981","318-U1356A-17R-4-A_SHLF2072431_20100123214426_trim.jpg","2010-01-24 03:46:30","JAICV107CL","SHIL","SHLF2072431","16428261","","",""
"318","U1356","A","17","R","CC","A","158.640","158.840","158.640","158.840","T","5952081","318-U1356A-17R-CC-A_SHLF2072461_20100123215921.jpg","5952101","318-U1356A-17R-CC-A_SHLF2072461_20100123215921_trim.jpg","2010-01-24 04:01:35","JAICV107CL","SHIL","SHLF2072461","16428871","","",""
"318","U1356","A","18","R","1","A","162.500","164.000","162.500","164.000","T","5953061","318-U1356A-18R-1-A_SHLF2072661_20100123225829.jpg","5953081","318-U1356A-18R-1-A_SHLF2072661_20100123225829_trim.jpg","2010-01-24 05:00:36","JAICV107CL","SHIL","SHLF2072661","16429691","","",""
"318","U1356","A","18","R","2","A","164.000","165.500","164.000","165.500","T","5953141","318-U1356A-18R-2-A_SHLF2072691_20100123230411.jpg","5953161","318-U1356A-18R-2-A_SHLF2072691_20100123230411_trim.jpg","2010-01-24 05:06:46","JAICV107CL","SHIL","SHLF2072691","16429911","","",""
"318","U1356","A","18","R","3","A","165.500","166.080","165.500","166.080","T","5953261","318-U1356A-18R-3-A_SHLF2072721_20100123231606.jpg","5953281","318-U1356A-18R-3-A_SHLF2072721_20100123231606_trim.jpg","2010-01-24 05:17:37","JAICV107CL","SHIL","SHLF2072721","16430331","","",""
"318","U1356","A","18","R","CC","A","166.080","166.290","166.080","166.290","T","5953421","318-U1356A-18R-CC-A_SHLF2072751_20100123232804.jpg","5953441","318-U1356A-18R-CC-A_SHLF2072751_20100123232804_trim.jpg","2010-01-24 05:29:06","JAICV107CL","SHIL","SHLF2072751","16430551","","",""
"318","U1356","A","19","R","1","A","172.100","173.600","172.100","173.600","T","5953881","318-U1356A-19R-1-A_SHLF2072891_20100123235704.jpg","5953901","318-U1356A-19R-1-A_SHLF2072891_20100123235704_trim.jpg","2010-01-24 06:04:18","JAICV107CL","SHIL","SHLF2072891","16431301","","",""
"318","U1356","A","19","R","2","A","173.600","175.100","173.600","175.100","T","5953961","318-U1356A-19R-2-A_SHLF2072921_20100124000603.jpg","5953981","318-U1356A-19R-2-A_SHLF2072921_20100124000603_trim.jpg","2010-01-24 06:09:30","JAICV107CL","SHIL","SHLF2072921","16431341","","",""
"318","U1356","A","19","R","3","A","175.100","176.600","175.100","176.600","T","5954661","318-U1356A-19R-3-A_SHLF2072951_20100124002040.jpg","5954681","318-U1356A-19R-3-A_SHLF2072951_20100124002040_trim.jpg","2010-01-24 06:24:12","JAICV107CL","SHIL","SHLF2072951","16431761","","",""
"318","U1356","A","19","R","4","A","176.600","178.110","176.600","178.110","T","5954841","318-U1356A-19R-4-A_SHLF2072981_20100124003623.jpg","5954861","318-U1356A-19R-4-A_SHLF2072981_20100124003623_trim.jpg","2010-01-24 06:38:08","JAICV107CL","SHIL","SHLF2072981","16432161","","",""
"318","U1356","A","19","R","5","A","178.110","179.520","178.110","179.520","T","5954981","318-U1356A-19R-5-A_SHLF2073011_20100124004624.jpg","5955001","318-U1356A-19R-5-A_SHLF2073011_20100124004624_trim.jpg","2010-01-24 06:48:22","JAICV107CL","SHIL","SHLF2073011","16432261","","",""
"318","U1356","A","19","R","CC","A","179.520","179.740","179.520","179.740","T","5955181","318-U1356A-19R-CC-A_SHLF2073041_20100124005938.jpg","5955201","318-U1356A-19R-CC-A_SHLF2073041_20100124005938_trim.jpg","2010-01-24 07:00:39","JAICV107CL","SHIL","SHLF2073041","16433021","","",""
"318","U1356","A","20","R","1","A","181.700","183.200","181.700","183.200","T","5957641","318-U1356A-20R-1-A_SHLF2073281_20100124035622.jpg","5957661","318-U1356A-20R-1-A_SHLF2073281_20100124035622_trim.jpg","2010-01-24 10:01:10","JAICV107CL","SHIL","SHLF2073281","16442231","","",""
"318","U1356","A","20","R","2","A","183.200","184.400","183.200","184.400","T","5959461","318-U1356A-20R-2-A_SHLF2073311_20100124041730.jpg","5959481","318-U1356A-20R-2-A_SHLF2073311_20100124041730_trim.jpg","2010-01-24 10:21:29","JAICV107CL","SHIL","SHLF2073311","16444111","","",""
"318","U1356","A","20","R","CC","A","184.400","184.660","184.400","184.660","T","5959521","318-U1356A-20R-CC-A_SHLF2073341_20100124042236.jpg","5959541","318-U1356A-20R-CC-A_SHLF2073341_20100124042236_trim.jpg","2010-01-24 10:26:36","JAICV107CL","SHIL","SHLF2073341","16444131","","",""
"318","U1356","A","21","R","1","A","191.300","192.800","191.300","192.800","T","5960261","318-U1356A-21R-1-A_SHLF2073531_20100124072249.jpg","5960281","318-U1356A-21R-1-A_SHLF2073531_20100124072249_trim.jpg","2010-01-24 13:26:49","JAICV107CL","SHIL","SHLF2073531","16451981","","",""
"318","U1356","A","21","R","2","A","192.800","193.650","192.800","193.650","T","5960421","318-U1356A-21R-2-A_SHLF2073561_20100124074559.jpg","5960441","318-U1356A-21R-2-A_SHLF2073561_20100124074559_trim.jpg","2010-01-24 13:51:59","JAICV107CL","SHIL","SHLF2073561","16452351","","",""
"318","U1356","A","21","R","CC","A","193.650","193.850","193.650","193.850","T","5960561","318-U1356A-21R-CC-A_SHLF2073591_20100124075829.jpg","5960581","318-U1356A-21R-CC-A_SHLF2073591_20100124075829_trim.jpg","2010-01-24 14:07:06","JAICV107CL","SHIL","SHLF2073591","16452631","","",""
"318","U1356","A","22","R","1","A","200.900","202.400","200.900","202.400","T","5962521","318-U1356A-22R-1-A_SHLF2073811_20100124112959.jpg","5962541","318-U1356A-22R-1-A_SHLF2073811_20100124112959_trim.jpg","2010-01-24 17:32:20","JAICV107CL","SHIL","SHLF2073811","16456651","","",""
"318","U1356","A","22","R","2","A","202.400","203.820","202.400","203.820","T","5962621","318-U1356A-22R-2-A_SHLF2073841_20100124113929.jpg","5962641","318-U1356A-22R-2-A_SHLF2073841_20100124113929_trim.jpg","2010-01-24 17:47:33","JAICV107CL","SHIL","SHLF2073841","16456691","","",""
"318","U1356","A","22","R","CC","A","203.820","203.950","203.820","203.950","T","5962701","318-U1356A-22R-CC-A_SHLF2073871_20100124114959.jpg","5962721","318-U1356A-22R-CC-A_SHLF2073871_20100124114959_trim.jpg","2010-01-24 17:52:38","JAICV107CL","SHIL","SHLF2073871","16456751","","",""
"318","U1356","A","23","R","1","A","210.500","211.840","210.500","211.840","T","5963061","318-U1356A-23R-1-A_SHLF2074031_20100124131129.jpg","5963081","318-U1356A-23R-1-A_SHLF2074031_20100124131129_trim.jpg","2010-01-24 19:17:53","JAICV107CL","SHIL","SHLF2074031","16458661","","",""
"318","U1356","A","23","R","CC","A","211.840","212.060","211.840","212.060","T","5963141","318-U1356A-23R-CC-A_SHLF2074061_20100124132617.jpg","5963161","318-U1356A-23R-CC-A_SHLF2074061_20100124132617_trim.jpg","2010-01-24 19:27:21","JAICV107CL","SHIL","SHLF2074061","16459061","","",""
"318","U1356","A","24","R","1","A","220.100","221.310","220.100","221.310","T","5963421","318-U1356A-24R-1-A_SHLF2074681_20100124143815.jpg","5963441","318-U1356A-24R-1-A_SHLF2074681_20100124143815_trim.jpg","2010-01-24 20:40:03","JAICV107CL","SHIL","SHLF2074681","16460371","","",""
"318","U1356","A","24","R","2","A","221.310","221.900","221.310","221.900","T","5963501","318-U1356A-24R-2-A_SHLF2074711_20100124144245.jpg","5963521","318-U1356A-24R-2-A_SHLF2074711_20100124144245_trim.jpg","2010-01-24 20:45:10","JAICV107CL","SHIL","SHLF2074711","16460401","","",""
"318","U1356","A","24","R","CC","A","221.900","222.060","221.900","222.060","T","5963621","318-U1356A-24R-CC-A_SHLF2074741_20100124145236.jpg","5963641","318-U1356A-24R-CC-A_SHLF2074741_20100124145236_trim.jpg","2010-01-24 20:55:14","JAICV107CL","SHIL","SHLF2074741","16460671","","",""
"318","U1356","A","25","R","CC","A","229.700","229.950","229.700","229.950","T","5964061","318-U1356A-25R-CC-A_SHLF2074911_20100124154218.jpg","5964081","318-U1356A-25R-CC-A_SHLF2074911_20100124154218_trim.jpg","2010-01-24 22:05:19","JAICV107CL","SHIL","SHLF2074911","16461581","","",""
"318","U1356","A","26","R","1","A","239.300","239.800","239.300","239.800","T","5964121","318-U1356A-26R-1-A_SHLF2075101_20100124160259.jpg","5964141","318-U1356A-26R-1-A_SHLF2075101_20100124160259_trim.jpg","2010-01-24 22:05:26","JAICV107CL","SHIL","SHLF2075101","16461601","","",""
"318","U1356","A","26","R","CC","A","239.800","240.000","239.800","240.010","T","5964201","318-U1356A-26R-CC-A_SHLF2075131_20100124160638.jpg","5964221","318-U1356A-26R-CC-A_SHLF2075131_20100124160638_trim.jpg","2010-01-24 22:10:31","JAICV107CL","SHIL","SHLF2075131","16461861","","",""
"318","U1356","A","27","R","CC","A","248.900","249.130","248.900","249.130","T","5964261","318-U1356A-27R-CC-A_SHLF2075631_20100124160858.jpg","5964281","318-U1356A-27R-CC-A_SHLF2075631_20100124160858_trim.jpg","2010-01-24 22:10:36","JAICV107CL","SHIL","SHLF2075631","16461881","","",""
"318","U1356","A","28","R","CC","A","258.400","258.590","258.400","258.590","T","5964321","318-U1356A-28R-CC-A_SHLF2076101_20100124161055.jpg","5964341","318-U1356A-28R-CC-A_SHLF2076101_20100124161055_trim.jpg","2010-01-24 22:15:41","JAICV107CL","SHIL","SHLF2076101","16461941","","",""
"318","U1356","A","29","R","CC","A","268.000","268.200","268.000","268.200","T","5964381","318-U1356A-29R-CC-A_SHLF2076261_20100124161337.jpg","5964401","318-U1356A-29R-CC-A_SHLF2076261_20100124161337_trim.jpg","2010-01-24 22:15:46","JAICV107CL","SHIL","SHLF2076261","16461961","","",""
"318","U1356","A","30","R","1","A","277.500","279.000","277.500","279.000","T","5964801","318-U1356A-30R-1-A_SHLF2076391_20100124174114.jpg","5964821","318-U1356A-30R-1-A_SHLF2076391_20100124174114_trim.jpg","2010-01-24 23:43:25","JAICV107CL","SHIL","SHLF2076391","16463111","","",""
"318","U1356","A","30","R","2","A","279.000","280.500","279.000","280.500","T","5964861","318-U1356A-30R-2-A_SHLF2076421_20100124174941.jpg","5964881","318-U1356A-30R-2-A_SHLF2076421_20100124174941_trim.jpg","2010-01-24 23:53:39","JAICV107CL","SHIL","SHLF2076421","16463131","","",""
"318","U1356","A","30","R","3","A","280.500","282.000","280.500","282.000","T","5965001","318-U1356A-30R-3-A_SHLF2076451_20100124180516.jpg","5965021","318-U1356A-30R-3-A_SHLF2076451_20100124180516_trim.jpg","2010-01-25 00:07:13","JAICV107CL","SHIL","SHLF2076451","16463401","","",""
"318","U1356","A","30","R","4","A","282.000","283.500","282.000","283.500","T","5965121","318-U1356A-30R-4-A_SHLF2076481_20100124181545.jpg","5965141","318-U1356A-30R-4-A_SHLF2076481_20100124181545_trim.jpg","2010-01-25 00:19:59","JAICV107CL","SHIL","SHLF2076481","16463851","","",""
"318","U1356","A","30","R","5","A","283.500","284.410","283.500","284.410","T","5965221","318-U1356A-30R-5-A_SHLF2076511_20100124183144.jpg","5965241","318-U1356A-30R-5-A_SHLF2076511_20100124183144_trim.jpg","2010-01-25 00:33:27","JAICV107CL","SHIL","SHLF2076511","16463931","","",""
"318","U1356","A","30","R","6","A","284.410","285.030","284.410","285.020","T","5965381","318-U1356A-30R-6-A_SHLF2076541_20100124184400.jpg","5965401","318-U1356A-30R-6-A_SHLF2076541_20100124184400_trim.jpg","2010-01-25 00:48:34","JAICV107CL","SHIL","SHLF2076541","16464051","","",""
"318","U1356","A","30","R","CC","A","285.020","285.280","285.020","285.280","T","5965461","318-U1356A-30R-CC-A_SHLF2076571_20100124185106.jpg","5965481","318-U1356A-30R-CC-A_SHLF2076571_20100124185106_trim.jpg","2010-01-25 00:53:38","JAICV107CL","SHIL","SHLF2076571","16464111","","",""
"318","U1356","A","31","R","CC","","287.000","287.050","287.000","287.050","T","5966101","318-U1356A-31R-CC-HS_CYL2076721_20100124202228.jpg","5966121","318-U1356A-31R-CC-HS_CYL2076721_20100124202228_trim.jpg","2010-01-25 02:23:13","JAICV107CL","SHIL","CYL2076721","16467931","","",""
"318","U1356","A","33","R","1","A","306.400","307.380","306.400","307.380","T","5966161","318-U1356A-33R-1-A_SHLF2076871_20100124202625.jpg","5966181","318-U1356A-33R-1-A_SHLF2076871_20100124202625_trim.jpg","2010-01-25 02:28:01","JAICV107CL","SHIL","SHLF2076871","16467951","","",""
"318","U1356","A","33","R","CC","A","307.380","307.670","307.380","307.670","T","5966221","318-U1356A-33R-CC-A_SHLF2076901_20100124203050.jpg","5966241","318-U1356A-33R-CC-A_SHLF2076901_20100124203050_trim.jpg","2010-01-25 02:33:05","JAICV107CL","SHIL","SHLF2076901","16468071","","",""
